"SETI_pad4_sag101";"SETI_sag101";"sag101";"pad4";"pad4_sag101";"SETI";"SETI_pad4"
"AT5G56340";"AT2G04430";"AT2G37110";"AT2G47650";"AT5G17380";"AT5G23520";"AT3G04110"
"AT1G03730";"AT3G27560";"AT5G56170";"AT1G05010";"AT5G54500";"AT4G24290";"AT1G76130"
"AT5G16480";"AT5G46490";"AT2G41420";"AT4G02350";"AT2G41110";"AT4G01370";"AT5G43650"
"AT5G41180";"AT4G04500";"AT1G61150";"AT5G01210";"AT2G46600";"AT3G26000";"AT4G14680"
"AT3G47540";"AT5G43910";"AT1G73030";"AT5G05850";"AT3G18830";"AT1G64460";"AT3G57730"
"AT1G33720";"AT5G20350";"AT5G54110";"AT1G34370";"AT1G60730";"AT3G47530";"AT5G24110"
"AT1G35230";"AT1G66250";"AT3G03740";"AT2G36220";"AT1G03220";"AT5G20990";"AT5G40170"
"AT2G04450";"AT4G01540";"AT1G05350";"AT3G21690";"AT3G16860";"AT3G46530";"AT4G18205"
"AT4G18250";"AT5G01970";"AT5G59420";"AT5G03490";"AT4G32020";"AT4G19510";"AT3G18710"
"AT4G36988";"AT5G52730";"AT1G76390";"AT1G06160";"AT4G22530";"AT4G19990";"AT5G66320"
"AT5G22520";"AT2G21470";"AT2G38740";"AT4G28490";"AT4G18010";"AT3G44150";"AT5G44870"
"AT5G58430";"AT3G60800";"AT1G66260";"AT2G34355";"AT1G03230";"AT2G26240";"AT4G25940"
"AT1G01560";"AT5G26170";"AT5G35460";"AT3G28940";"AT5G64310";"AT3G03010";"AT5G58787"
"AT1G48320";"AT4G12710";"AT5G47200";"AT5G26340";"AT1G33560";"AT5G64000";"AT3G54420"
"AT3G22160";"AT5G04550";"AT1G04970";"AT1G33110";"AT2G32210";"AT5G59000";"AT5G45250"
"AT3G57550";"AT1G65870";"AT5G13810";"AT2G29340";"AT2G31955";"AT5G64510";"AT5G04020"
"AT4G04540";"AT1G13180";"AT2G46080";"AT4G36480";"AT4G23850";"AT4G36520";"AT5G32481"
"AT4G18253";"AT2G45910";"AT2G01670";"AT4G19880";"AT5G15640";"AT3G59570";"AT1G79670"
"AT1G71100";"AT3G60966";"AT3G57280";"AT1G55920";"AT5G54840";"AT1G56130";"AT1G76640"
"AT4G39030";"AT1G65483";"AT5G50430";"AT1G69960";"AT4G20860";"AT5G20610";"AT3G55880"
"AT2G41835";"AT1G72540";"AT4G25690";"AT1G20100";"AT1G66590";"AT3G16270";"AT1G62200"
"AT1G01680";"AT2G33700";"AT2G38000";"AT4G36670";"AT1G18210";"AT1G34300";"AT1G53390"
"AT2G27580";"AT5G61510";"AT1G25682";"AT1G74450";"AT2G41380";"AT5G22780";"AT1G11310"
"AT3G07720";"AT5G38895";"AT3G07560";"AT1G30320";"AT1G14740";"AT1G61460";"AT2G29100"
"AT4G02550";"AT1G13550";"AT4G39990";"AT1G28280";"AT1G27020";"AT4G23160";"AT4G18197"
"AT4G11660";"AT4G24730";"AT3G16220";"AT1G08315";"AT3G15500";"AT1G41797";"AT4G38550"
"AT5G01980";"AT1G78200";"AT4G02195";"AT1G25275";"AT3G04670";"AT3G25010";"AT2G31230"
"AT5G42830";"AT2G25190";"AT2G24360";"AT4G30510";"AT3G62720";"AT5G03160";"AT4G18195"
"AT2G44600";"AT3G18250";"AT2G30880";"AT1G78310";"AT5G65240";"AT1G14360";"AT4G11521"
"AT3G54150";"AT4G27500";"AT5G25940";"AT3G08030";"AT1G66160";"AT2G02810";"AT4G04220"
"AT4G23570";"AT5G39040";"AT5G16880";"AT3G14620";"AT3G55430";"AT2G40810";"AT1G27500"
"AT4G26400";"AT3G07700";"AT3G62830";"AT2G27500";"AT1G09070";"AT2G25440";"AT1G56145"
"AT5G13190";"AT4G12790";"AT5G20000";"AT3G20860";"AT5G48930";"AT3G18370";"AT5G52800"
"AT5G26030";"AT3G02610";"AT1G80460";"AT2G39210";"AT1G78420";"AT2G30070";"AT1G25390"
"AT1G43910";"AT1G12360";"AT1G75860";"AT1G23090";"AT1G07240";"AT1G26130";"AT4G36140"
"AT3G55470";"AT5G47120";"AT2G26600";"AT1G33610";"AT1G19380";"AT5G57140";"AT2G01029"
"AT2G18690";"AT3G18440";"AT4G39910";"AT3G24550";"AT5G03630";"AT5G42020";"AT5G09790"
"AT3G10500";"AT1G68200";"AT5G41990";"AT5G39050";"AT4G28550";"AT4G30640";"AT4G26070"
"AT4G09570";"AT4G36945";"AT5G59290";"AT5G09470";"AT5G67250";"AT1G05170";"AT3G05370"
"AT4G38940";"AT1G73130";"AT5G02040";"AT2G30140";"AT4G13180";"AT5G26180";"AT2G17040"
"AT5G66640";"AT2G47490";"AT4G33910";"AT5G63320";"AT1G35350";"AT3G62600";"AT1G77660"
"AT1G51890";"AT3G52470";"AT5G21090";"AT4G35630";"AT1G80300";"AT4G26270";"AT3G24900"
"AT2G42950";"AT4G17670";"AT5G28830";"AT2G38170";"AT3G09370";"AT5G49110";"AT5G44582"
"AT1G57560";"AT3G60690";"AT3G02880";"AT5G20960";"AT1G09560";"AT4G23170";"AT5G45060"
"AT1G64610";"AT5G46410";"AT4G00300";"AT1G78830";"AT5G16830";"AT5G22770";"AT2G26170"
"AT3G59700";"AT2G21790";"AT1G26690";"AT1G58590";"AT2G30490";"AT5G16230";"AT4G04480"
"AT5G25260";"AT3G52460";"AT5G64090";"AT2G23770";"AT5G62560";"AT1G67630";"AT5G47230"
"AT4G00700";"AT3G02770";"AT1G18480";"AT4G16250";"AT3G51890";"AT4G00240";"AT2G28830"
"AT4G12720";"AT1G72890";"AT4G23885";"AT4G34135";"AT1G60440";"AT5G28540";"AT1G74440"
"AT4G23700";"AT3G03610";"AT3G15260";"AT1G50360";"AT4G02520";"AT4G16660";"AT4G23180"
"AT3G04580";"AT5G08335";"AT2G40890";"AT2G25850";"AT2G41730";"AT5G04560";"AT3G14840"
"AT1G30755";"AT4G39820";"AT3G17800";"AT3G13310";"AT4G25810";"AT2G46240";"AT2G15040"
"AT1G09932";"AT3G10540";"AT1G70590";"AT3G59880";"AT2G18193";"AT2G24160";"AT1G11300"
"AT1G13340";"AT4G28480";"AT1G30640";"AT4G02940";"AT1G47530";"AT5G12030";"AT1G72910"
"AT1G19020";"AT3G60450";"AT5G18110";"AT2G47800";"AT3G44190";"AT5G01732";"AT1G63380"
"AT1G77500";"AT2G34610";"AT1G21900";"AT1G21250";"AT2G22475";"AT4G29000";"AT2G31945"
"AT4G30060";"AT3G53120";"AT2G27200";"AT2G43150";"AT3G56880";"AT4G04900";"AT3G11010"
"AT4G38560";"AT3G18295";"AT3G22950";"AT1G66920";"AT3G63010";"AT4G04655";"AT1G74080"
"AT5G67340";"AT5G13310";"AT1G16240";"AT4G26970";"AT1G17745";"AT2G32880";"AT3G26210"
"AT3G52870";"AT2G36470";"AT1G50640";"AT1G69750";"AT4G22590";"AT5G08610";"AT5G28120"
"AT1G74710";"AT4G05030";"AT4G21560";"AT1G78460";"AT1G70140";"AT5G52740";"AT3G24503"
"AT2G40095";"AT1G33800";"AT4G39270";"AT4G16260";"AT4G10960";"AT3G54120";"AT1G08450"
"AT5G22250";"AT1G31010";"AT2G04520";"AT4G23810";"AT2G22470";"AT2G46940";"AT1G11303"
"AT1G30040";"AT1G05880";"AT1G20090";"AT1G30135";"AT1G14330";"AT4G16780";"AT2G23330"
"AT1G32127";"AT1G19250";"AT4G05050";"AT1G34260";"AT3G01970";"AT1G58420";"AT4G15233"
"AT1G67060";"AT3G46510";"AT5G24430";"AT1G71040";"AT5G03610";"AT3G09040";"AT1G05630"
"AT1G78410";"AT1G30000";"AT1G28680";"AT3G50950";"AT1G77760";"AT4G37100";"AT4G36950"
"AT3G52430";"AT5G66600";"AT5G17690";"AT4G12010";"AT1G06050";"AT2G28760";"AT4G37670"
"AT5G22530";"AT3G15358";"AT1G10230";"AT5G59540";"AT3G55600";"AT5G47380";"AT1G51760"
"AT5G35735";"AT4G03420";"AT2G27260";"AT4G30530";"AT4G27350";"AT4G29520";"AT2G32680"
"AT4G23150";"AT1G11200";"AT1G80510";"AT2G40090";"AT2G17130";"AT2G24165";"AT5G60300"
"AT4G26120";"AT3G44670";"AT4G12250";"AT1G15125";"AT5G58350";"AT3G03970";"AT3G04210"
"AT1G63720";"AT1G64280";"AT5G53310";"AT2G46510";"AT5G57060";"AT5G40720";"AT2G03505"
"AT4G39640";"AT5G38344";"AT5G48970";"AT2G44300";"AT2G17530";"AT1G09080";"AT2G46430"
"AT4G11170";"AT1G64400";"AT3G29075";"AT1G63860";"AT4G34050";"AT5G44635";"AT2G29410"
"AT5G60280";"AT1G66460";"AT5G22000";"AT4G37530";"AT4G30490";"AT1G66550";"AT5G02970"
"AT1G21550";"AT1G61490";"AT5G60820";"AT1G25560";"AT4G30290";"AT3G51350";"AT5G60900"
"AT2G28570";"AT1G73020";"AT5G13420";"AT1G59810";"AT4G08180";"AT4G30230";"AT5G01050"
"AT1G63830";"AT1G21520";"AT3G20510";"AT5G27520";"AT3G25900";"AT2G28630";"AT1G72060"
"AT1G67970";"AT1G03495";"AT3G29170";"AT5G51770";"AT1G09575";"AT4G08750";"AT1G04920"
"AT2G39650";"AT3G53150";"AT5G51640";"AT5G12300";"AT4G34710";"AT1G67000";"AT4G23230"
"AT3G55950";"AT5G43190";"AT4G33690";"AT3G02040";"AT4G21120";"AT5G64900";"AT2G01379"
"AT3G13100";"AT5G52720";"AT3G56800";"AT5G19250";"AT2G26480";"AT2G36420";"AT3G45860"
"AT4G21400";"AT1G51640";"AT1G02500";"AT4G30350";"AT5G45750";"AT4G35940";"AT1G59950"
"AT3G10640";"AT5G04170";"AT3G13320";"AT3G01650";"AT5G47050";"AT4G08210";"AT4G39580"
"AT5G13320";"AT5G57970";"AT5G22350";"AT4G37520";"AT1G23550";"AT4G39010";NA
"AT3G48090";"AT3G53270";"AT4G21980";"AT4G15140";"AT5G45710";"AT4G00940";NA
"AT5G60800";"AT1G19360";"AT4G19140";"AT1G28240";"AT4G25350";"AT5G66300";NA
"AT4G04490";"AT5G61840";"AT5G20910";"AT1G02880";"AT3G61630";"AT4G11230";NA
"AT1G21370";"AT5G50140";"AT5G56350";"AT3G20600";"AT3G61640";"AT5G59670";NA
"AT4G34390";"AT5G47420";"AT5G64250";"AT2G36970";"AT4G09030";"AT3G54160";NA
"AT5G45100";"AT5G63225";"AT3G55050";"AT5G04860";"AT4G31860";"AT1G31335";NA
"AT3G50930";"AT5G64530";"AT5G41940";"AT2G46260";"AT3G09920";"AT3G24630";NA
"AT5G62020";"AT5G55460";"AT3G61570";"AT1G07630";"AT5G53588";"AT1G53080";NA
"AT3G57450";"AT2G33120";"AT3G05500";"AT3G19380";"AT3G11420";"AT3G13850";NA
"AT2G32140";"AT5G38350";"AT2G34730";"AT2G15080";"AT1G78860";"AT5G03260";NA
"AT4G33060";"AT1G32530";"AT1G66580";"AT2G29120";"AT4G21740";"AT2G24170";NA
"AT5G48400";"AT3G60540";"AT4G12070";"AT2G30360";"AT1G02660";"AT1G33790";NA
"AT2G29720";"AT2G13810";"AT1G48850";"AT2G29165";"AT4G20320";"AT1G71400";NA
"AT1G31130";"AT3G07390";"AT3G06420";"AT5G52400";"AT4G35480";"AT1G14040";NA
"AT5G66210";"AT1G79690";"AT5G58720";"AT2G42330";"AT1G73550";"AT5G52910";NA
"AT1G18890";"AT1G01550";"AT3G17205";"AT1G58340";"AT3G03020";"AT2G44580";NA
"AT1G19270";"AT3G56440";"AT4G20380";"AT4G15236";"AT1G70990";"AT1G30900";NA
"AT2G28080";"AT2G26400";"AT5G08630";"AT1G37130";"AT5G37600";"AT5G47830";NA
"AT3G26020";"AT4G21840";"AT5G52210";"AT4G01250";"AT1G68410";"AT5G14730";NA
"AT5G22630";"AT4G15200";"AT1G21380";"AT3G04720";"AT4G36640";"AT3G53830";NA
"AT5G48655";"AT2G39360";"AT5G63880";"AT5G60630";"AT4G21680";"AT3G47050";NA
"AT1G30620";"AT3G03310";"AT5G59890";"AT1G15170";"AT1G79450";"AT4G04695";NA
"AT1G11905";"AT3G52480";"AT1G76900";"AT3G26200";"AT1G02400";"AT3G47840";NA
"AT1G08050";"AT3G62200";"AT3G15060";"AT5G49480";"AT2G03760";"AT1G58225";NA
"AT1G80820";"AT5G47130";"AT5G21070";"AT5G02630";"AT1G76210";"AT3G11000";NA
"AT3G04220";"AT4G25880";"AT5G61390";"AT2G27690";"AT3G45060";"AT1G08500";NA
"AT3G45640";"AT2G01650";"AT2G02180";"AT5G13110";"AT3G25180";"AT1G72250";NA
"AT3G49530";"AT3G60190";"AT1G66680";"AT3G57760";"AT5G07730";"AT3G23740";NA
"AT5G45130";"AT3G63240";"AT1G10410";"AT1G06850";"AT4G18140";"AT1G51340";NA
"AT2G41010";"AT5G46350";"AT5G42150";"AT4G24230";"AT5G67310";"AT2G29500";NA
"AT4G34150";"AT4G04920";"AT1G06870";"AT5G13490";"AT1G17744";"AT5G02680";NA
"AT1G51660";"AT4G37020";"AT3G12550";"AT4G18422";"AT3G49120";"AT3G47230";NA
"AT3G12740";"AT1G52315";"AT4G17486";"AT4G35770";"AT5G01380";"AT5G24290";NA
"AT5G42010";"AT3G10400";"AT3G60520";"AT1G61120";"AT5G25820";"AT4G31840";NA
"AT2G43320";"AT4G26240";"AT4G25640";"AT4G00955";"AT5G54730";"AT5G45740";NA
"AT3G16510";"AT5G48570";"AT5G16200";"AT2G27080";"AT3G59350";NA;NA
"AT3G60415";"AT5G61530";"AT3G12350";"AT2G47950";"AT5G18150";NA;NA
"AT5G24200";"AT4G19925";"AT1G09645";"AT1G75040";"AT3G54640";NA;NA
"AT5G59820";"AT4G16880";"AT1G21280";"AT4G28703";"AT2G47000";NA;NA
"AT5G64810";"AT3G06300";"AT4G22920";"AT1G01720";"AT5G64120";NA;NA
"AT1G66090";"AT3G10820";"AT1G61667";"AT1G65520";"AT5G60270";NA;NA
"AT4G37640";"AT1G71390";"AT4G01950";"AT5G57050";"AT1G16300";NA;NA
"AT5G54710";"AT2G45010";"AT2G20130";"AT4G13920";"AT3G16330";NA;NA
"AT1G56060";"AT2G40740";"AT1G19240";"AT4G29600";"AT1G73500";NA;NA
"AT1G61560";"AT1G32340";"AT2G05320";"AT3G14870";"AT5G44390";NA;NA
"AT4G25030";"AT4G23320";"AT3G06850";"AT1G70520";"AT4G31000";NA;NA
"AT5G26751";"AT4G31510";"AT1G70518";"AT1G73010";"AT1G22250";NA;NA
"AT1G02270";"AT1G07400";"AT4G02890";"AT3G23530";"AT4G19460";NA;NA
"AT1G01340";"AT3G05710";"AT2G17760";"AT2G26440";"AT3G21240";NA;NA
"AT1G67810";"AT1G56150";"AT5G11730";"AT4G36040";"AT3G50060";NA;NA
"AT3G21230";"AT2G39530";"AT1G17860";"AT5G14640";"AT2G18350";NA;NA
"AT2G26150";"AT4G25720";"AT1G08830";"AT5G44575";"AT5G13820";NA;NA
"AT3G19260";"AT5G11030";"AT3G25870";"AT4G25672";"AT1G72070";NA;NA
"AT4G17900";"AT4G15070";"AT4G02880";"AT4G38545";"AT4G02330";NA;NA
"AT1G72900";"AT3G50460";"AT1G02750";"AT2G16890";"AT4G27940";NA;NA
"AT2G47730";"AT4G11840";"AT1G62480";"AT2G24570";"AT4G08040";NA;NA
"AT5G12480";"AT4G02220";"AT5G54930";"AT5G52050";"AT2G40110";NA;NA
"AT2G39660";"AT5G44570";"AT1G15010";"AT1G21270";"AT4G13340";NA;NA
"AT1G21120";"AT3G57950";"AT1G33970";"AT1G71880";"AT2G40113";NA;NA
"AT1G42990";"AT3G50800";"AT1G74340";"AT5G59730";"AT1G15415";NA;NA
"AT3G06890";"AT1G01690";"AT5G55860";"AT3G09490";"AT5G10830";NA;NA
"AT3G17410";"AT3G02360";"AT2G36330";"AT1G16220";"AT1G10990";NA;NA
"AT1G16420";"AT2G21900";"AT4G24200";"AT5G13220";"AT5G64260";NA;NA
"AT2G20900";"AT5G14480";"AT5G01820";"AT2G39710";"AT2G29740";NA;NA
"AT5G66620";"AT2G45920";"AT2G22860";"AT5G03720";"AT2G43570";NA;NA
"AT1G24150";"AT4G19970";"AT5G54100";"AT5G50915";"AT2G24550";NA;NA
"AT3G19970";"AT1G80450";"AT1G23220";"AT1G63740";"AT2G24850";NA;NA
"AT5G39670";"AT3G54850";"AT1G04960";"AT5G44568";"AT3G52450";NA;NA
"AT2G01450";"AT1G21450";"AT5G60230";"AT1G15110";"AT4G30090";NA;NA
"AT3G53810";"AT3G02520";"AT2G46140";"AT1G76470";"AT5G59490";NA;NA
"AT5G22540";"AT2G42890";"AT5G21900";"AT5G28237";"AT4G05010";NA;NA
"AT3G25600";"AT1G09630";"AT3G57120";"AT4G35380";"AT2G35000";NA;NA
"AT4G16860";"AT5G23490";"AT5G58380";"AT1G72450";"AT4G37390";NA;NA
"AT1G14370";"AT5G35200";"AT2G04350";"AT5G55120";"AT2G04040";NA;NA
"AT4G12040";"AT4G12690";"AT5G18950";"AT1G75000";NA;NA;NA
"AT1G33730";"AT3G56740";"AT5G42940";"AT5G12880";NA;NA;NA
"AT5G26920";"AT1G12290";"AT5G63905";"AT2G43160";NA;NA;NA
