"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","DNA-binding transcription factor activity","GO:0003700","true","0.00033232277797847187","3.4784398904055136","1586","694","84","22791","AT2G02070,AT4G00150,AT4G32980,AT2G41940,AT5G23280,AT5G44190,AT4G17880,AT1G14920,AT5G13730,AT1G76880,AT1G75540,AT1G24625,AT3G60630,AT1G19350,AT1G25440,AT5G64340,AT2G33860,AT5G66770,AT5G58900,AT5G65310,AT1G49720,AT5G54630,AT1G28310,AT2G20180,AT3G04450,AT5G46690,AT3G50700,AT4G14540,AT1G69690,AT4G25480,AT5G43700,AT5G41920,AT2G01760,AT2G31380,AT1G68550,AT3G22760,AT5G38860,AT3G13000,AT3G48590,AT1G01250,AT5G47640,AT2G18300,AT5G25810,AT5G59780,AT4G01500,AT5G09460,AT3G47500,AT2G16400,AT3G53920,AT4G35270,AT3G15030,AT2G03340,AT5G60120,AT4G29100,AT5G41410,AT5G45260,AT2G27050,AT3G22780,AT2G21320,AT2G22540,AT1G33060,AT5G05550,AT1G49560,AT2G39250,AT3G60390,AT2G46870,AT4G31060,AT1G68130,AT5G60450,AT1G68190,AT1G10610,AT2G35430,AT3G54320,AT3G58120,AT4G17810,AT3G07340,AT5G60970,AT4G36240,AT1G31150,AT2G27230,AT5G08070,AT4G17460,AT1G32240,AT5G16600"
"GO:MF","transcription regulator activity","GO:0140110","false","0.0018311922635029906","2.737266055154974","1685","694","84","22791","AT2G02070,AT4G00150,AT4G32980,AT2G41940,AT5G23280,AT5G44190,AT4G17880,AT1G14920,AT5G13730,AT1G76880,AT1G75540,AT1G24625,AT3G60630,AT1G19350,AT1G25440,AT5G64340,AT2G33860,AT5G66770,AT5G58900,AT5G65310,AT1G49720,AT5G54630,AT1G28310,AT2G20180,AT3G04450,AT5G46690,AT3G50700,AT4G14540,AT1G69690,AT4G25480,AT5G43700,AT5G41920,AT2G01760,AT2G31380,AT1G68550,AT3G22760,AT5G38860,AT3G13000,AT3G48590,AT1G01250,AT5G47640,AT2G18300,AT5G25810,AT5G59780,AT4G01500,AT5G09460,AT3G47500,AT2G16400,AT3G53920,AT4G35270,AT3G15030,AT2G03340,AT5G60120,AT4G29100,AT5G41410,AT5G45260,AT2G27050,AT3G22780,AT2G21320,AT2G22540,AT1G33060,AT5G05550,AT1G49560,AT2G39250,AT3G60390,AT2G46870,AT4G31060,AT1G68130,AT5G60450,AT1G68190,AT1G10610,AT2G35430,AT3G54320,AT3G58120,AT4G17810,AT3G07340,AT5G60970,AT4G36240,AT1G31150,AT2G27230,AT5G08070,AT4G17460,AT1G32240,AT5G16600"
"GO:BP","chloroplast organization","GO:0009658","true","0.00006174698245711351","4.209384261294948","192","625","22","21899","AT1G63680,AT3G57190,AT5G44190,AT2G16800,AT5G67385,AT5G67570,AT1G66840,AT4G34020,AT5G13770,AT1G45230,AT2G32480,AT3G19720,AT3G45780,AT5G58140,AT1G49510,AT3G19180,AT1G15510,AT1G10910,AT5G09315,AT5G38150,AT5G40270,AT1G64500"
"GO:BP","plastid organization","GO:0009657","false","0.00037862370913885503","3.421792194318917","261","625","24","21899","AT1G63680,AT3G57190,AT5G44190,AT2G16800,AT5G67385,AT5G67570,AT1G66840,AT4G34020,AT5G13770,AT1G45230,AT2G32480,AT3G19720,AT3G45780,AT5G58140,AT1G49510,AT3G19180,AT1G71720,AT1G15510,AT1G10910,AT5G09315,AT5G38150,AT5G40270,AT5G10900,AT1G64500"
"GO:BP","tropism","GO:0009606","true","0.00037862370913885503","3.421792194318917","126","625","16","21899","AT1G14280,AT2G44830,AT2G02950,AT4G08920,AT2G20180,AT2G01420,AT5G23100,AT3G45780,AT5G58140,AT1G69935,AT2G36910,AT4G16340,AT2G18790,AT5G58960,AT1G68130,AT5G50375"
"GO:BP","establishment of plastid localization","GO:0051667","false","0.000886048933333671","3.052542292909832","17","625","6","21899","AT5G67385,AT1G66840,AT3G45780,AT5G58140,AT5G38150,AT1G64500"
"GO:BP","regulation of RNA metabolic process","GO:0051252","false","0.000886048933333671","3.052542292909832","2255","625","101","21899","AT2G02070,AT4G00150,AT4G32980,AT5G18680,AT2G41940,AT5G23280,AT3G57190,AT5G44190,AT4G17880,AT1G14920,AT5G13730,AT1G76880,AT1G75540,AT1G24625,AT3G60630,AT1G19350,AT1G25440,AT5G64340,AT2G33860,AT5G66770,AT5G58900,AT1G07050,AT5G65310,AT1G49720,AT5G54630,AT1G28310,AT2G20180,AT3G04450,AT5G46690,AT3G50700,AT4G14540,AT1G69690,AT4G25480,AT5G43700,AT5G41920,AT2G01760,AT2G31380,AT5G57180,AT1G68550,AT3G22760,AT5G38860,AT1G62120,AT3G13000,AT3G48590,AT5G23930,AT1G01250,AT5G47640,AT2G18300,AT5G25810,AT5G59780,AT4G01500,AT2G36000,AT5G60100,AT5G09460,AT3G47500,AT2G16400,AT3G53920,AT4G35270,AT3G15030,AT4G27430,AT2G45250,AT2G03340,AT1G71720,AT5G60120,AT4G29100,AT5G41410,AT5G04290,AT5G45260,AT2G18790,AT2G27050,AT3G22780,AT4G20910,AT2G21320,AT2G22540,AT1G33060,AT5G05550,AT1G49560,AT2G39250,AT3G60390,AT2G46870,AT4G31060,AT2G32100,AT1G68130,AT5G60450,AT1G68190,AT1G10610,AT2G35430,AT3G54320,AT3G58120,AT4G17810,AT3G07340,AT5G60970,AT4G36240,AT1G31150,AT4G11970,AT2G27230,AT5G08070,AT4G17460,AT1G26945,AT1G32240,AT5G16600"
"GO:BP","regulation of nucleobase-containing compound metabolic process","GO:0019219","true","0.000886048933333671","3.052542292909832","2343","625","103","21899","AT2G02070,AT4G00150,AT4G32980,AT5G18680,AT2G41940,AT5G23280,AT3G57190,AT5G44190,AT4G17880,AT1G14920,AT5G13730,AT1G76880,AT1G75540,AT1G24625,AT3G60630,AT1G19350,AT1G25440,AT5G64340,AT2G33860,AT5G66770,AT5G58900,AT1G07050,AT5G65310,AT1G49720,AT5G54630,AT1G28310,AT2G20180,AT3G04450,AT5G46690,AT3G50700,AT4G14540,AT1G69690,AT4G25480,AT5G43700,AT5G41920,AT2G01760,AT2G31380,AT5G57180,AT1G68550,AT3G22760,AT5G38860,AT3G59420,AT1G62120,AT3G13000,AT3G48590,AT5G23930,AT1G01250,AT5G47640,AT2G18300,AT5G25810,AT5G59780,AT4G01500,AT2G36000,AT5G60100,AT5G09460,AT3G47500,AT2G16400,AT3G53920,AT4G35270,AT3G15030,AT4G27430,AT2G45250,AT2G03340,AT1G71720,AT5G60120,AT4G29100,AT5G41410,AT5G04290,AT5G45260,AT2G18790,AT2G27050,AT4G36860,AT3G22780,AT4G20910,AT2G21320,AT2G22540,AT1G33060,AT5G05550,AT1G49560,AT2G39250,AT3G60390,AT2G46870,AT4G31060,AT2G32100,AT1G68130,AT5G60450,AT1G68190,AT1G10610,AT2G35430,AT3G54320,AT3G58120,AT4G17810,AT3G07340,AT5G60970,AT4G36240,AT1G31150,AT4G11970,AT2G27230,AT5G08070,AT4G17460,AT1G26945,AT1G32240,AT5G16600"
"GO:BP","chloroplast relocation","GO:0009902","false","0.000886048933333671","3.052542292909832","17","625","6","21899","AT5G67385,AT1G66840,AT3G45780,AT5G58140,AT5G38150,AT1G64500"
"GO:BP","phototropism","GO:0009638","false","0.000886048933333671","3.052542292909832","23","625","7","21899","AT1G14280,AT2G44830,AT2G02950,AT4G08920,AT3G45780,AT5G58140,AT2G18790"
"GO:BP","response to light stimulus","GO:0009416","false","0.000886048933333671","3.052542292909832","762","625","45","21899","AT1G14280,AT4G32980,AT2G44830,AT5G23280,AT1G14920,AT1G66840,AT5G13730,AT1G75540,AT1G19350,AT2G26640,AT2G02950,AT4G08920,AT2G20180,AT1G11700,AT3G30180,AT2G31380,AT1G21920,AT3G48590,AT5G47640,AT4G14890,AT1G65420,AT4G10180,AT3G53920,AT3G45780,AT5G58140,AT1G69935,AT3G62410,AT2G36910,AT4G27430,AT3G15850,AT1G71720,AT1G15510,AT5G45610,AT2G18790,AT2G42690,AT4G21430,AT5G58960,AT2G21320,AT5G38150,AT1G51400,AT1G53090,AT2G21070,AT4G36240,AT5G49730,AT1G26945"
"GO:BP","regulation of DNA-templated transcription","GO:0006355","false","0.000886048933333671","3.052542292909832","2167","625","97","21899","AT2G02070,AT4G00150,AT4G32980,AT5G18680,AT2G41940,AT5G23280,AT5G44190,AT4G17880,AT1G14920,AT5G13730,AT1G76880,AT1G75540,AT1G24625,AT3G60630,AT1G19350,AT1G25440,AT5G64340,AT2G33860,AT5G66770,AT5G58900,AT1G07050,AT5G65310,AT1G49720,AT5G54630,AT1G28310,AT2G20180,AT3G04450,AT5G46690,AT3G50700,AT4G14540,AT1G69690,AT4G25480,AT5G43700,AT5G41920,AT2G01760,AT2G31380,AT5G57180,AT1G68550,AT3G22760,AT5G38860,AT1G62120,AT3G13000,AT3G48590,AT5G23930,AT1G01250,AT5G47640,AT2G18300,AT5G25810,AT5G59780,AT4G01500,AT2G36000,AT5G60100,AT5G09460,AT3G47500,AT2G16400,AT3G53920,AT4G35270,AT3G15030,AT4G27430,AT2G45250,AT2G03340,AT5G60120,AT4G29100,AT5G41410,AT5G04290,AT5G45260,AT2G18790,AT2G27050,AT3G22780,AT2G21320,AT2G22540,AT1G33060,AT5G05550,AT1G49560,AT2G39250,AT3G60390,AT2G46870,AT4G31060,AT2G32100,AT1G68130,AT5G60450,AT1G68190,AT1G10610,AT2G35430,AT3G54320,AT3G58120,AT4G17810,AT3G07340,AT5G60970,AT4G36240,AT1G31150,AT2G27230,AT5G08070,AT4G17460,AT1G26945,AT1G32240,AT5G16600"
"GO:BP","regulation of RNA biosynthetic process","GO:2001141","false","0.000886048933333671","3.052542292909832","2167","625","97","21899","AT2G02070,AT4G00150,AT4G32980,AT5G18680,AT2G41940,AT5G23280,AT5G44190,AT4G17880,AT1G14920,AT5G13730,AT1G76880,AT1G75540,AT1G24625,AT3G60630,AT1G19350,AT1G25440,AT5G64340,AT2G33860,AT5G66770,AT5G58900,AT1G07050,AT5G65310,AT1G49720,AT5G54630,AT1G28310,AT2G20180,AT3G04450,AT5G46690,AT3G50700,AT4G14540,AT1G69690,AT4G25480,AT5G43700,AT5G41920,AT2G01760,AT2G31380,AT5G57180,AT1G68550,AT3G22760,AT5G38860,AT1G62120,AT3G13000,AT3G48590,AT5G23930,AT1G01250,AT5G47640,AT2G18300,AT5G25810,AT5G59780,AT4G01500,AT2G36000,AT5G60100,AT5G09460,AT3G47500,AT2G16400,AT3G53920,AT4G35270,AT3G15030,AT4G27430,AT2G45250,AT2G03340,AT5G60120,AT4G29100,AT5G41410,AT5G04290,AT5G45260,AT2G18790,AT2G27050,AT3G22780,AT2G21320,AT2G22540,AT1G33060,AT5G05550,AT1G49560,AT2G39250,AT3G60390,AT2G46870,AT4G31060,AT2G32100,AT1G68130,AT5G60450,AT1G68190,AT1G10610,AT2G35430,AT3G54320,AT3G58120,AT4G17810,AT3G07340,AT5G60970,AT4G36240,AT1G31150,AT2G27230,AT5G08070,AT4G17460,AT1G26945,AT1G32240,AT5G16600"
"GO:BP","response to radiation","GO:0009314","false","0.0009991950206648288","3.0003497388684854","779","625","45","21899","AT1G14280,AT4G32980,AT2G44830,AT5G23280,AT1G14920,AT1G66840,AT5G13730,AT1G75540,AT1G19350,AT2G26640,AT2G02950,AT4G08920,AT2G20180,AT1G11700,AT3G30180,AT2G31380,AT1G21920,AT3G48590,AT5G47640,AT4G14890,AT1G65420,AT4G10180,AT3G53920,AT3G45780,AT5G58140,AT1G69935,AT3G62410,AT2G36910,AT4G27430,AT3G15850,AT1G71720,AT1G15510,AT5G45610,AT2G18790,AT2G42690,AT4G21430,AT5G58960,AT2G21320,AT5G38150,AT1G51400,AT1G53090,AT2G21070,AT4G36240,AT5G49730,AT1G26945"
"GO:BP","NAD(P)H dehydrogenase complex assembly","GO:0010275","true","0.0010445198058460377","2.981083320654383","11","625","5","21899","AT5G20935,AT4G37925,AT5G39210,AT5G52780,AT1G70760"
"GO:BP","regulation of nitrogen compound metabolic process","GO:0051171","false","0.0010656756231969676","2.972374968380404","2600","625","111","21899","AT2G02070,AT4G00150,AT4G32980,AT1G69440,AT5G18680,AT2G41940,AT5G23280,AT3G57190,AT5G44190,AT4G17880,AT1G14920,AT5G13730,AT1G76880,AT1G75540,AT1G24625,AT3G60630,AT1G19350,AT1G25440,AT5G64340,AT2G33860,AT5G66770,AT5G58900,AT1G07050,AT5G65310,AT1G49720,AT5G54630,AT1G28310,AT2G20180,AT3G04450,AT5G46690,AT4G30680,AT3G50700,AT5G35750,AT4G14540,AT1G69690,AT4G25480,AT5G43700,AT5G41920,AT2G01760,AT2G31380,AT5G57180,AT1G68550,AT3G22760,AT5G38860,AT3G59420,AT1G62120,AT3G13000,AT3G48590,AT5G23930,AT1G01250,AT5G47640,AT2G18300,AT5G25810,AT5G59780,AT4G01500,AT2G36000,AT5G60100,AT5G43810,AT5G09460,AT3G47500,AT2G16400,AT3G53920,AT1G69935,AT4G35270,AT3G15030,AT4G27430,AT2G45250,AT2G35260,AT2G03340,AT1G71720,AT5G60120,AT4G29100,AT5G41410,AT5G53430,AT5G04290,AT5G45260,AT2G18790,AT2G45810,AT2G27050,AT4G36860,AT3G22780,AT4G20910,AT2G21320,AT2G22540,AT1G33060,AT5G05550,AT1G49560,AT2G39250,AT3G60390,AT2G46870,AT4G31060,AT2G32100,AT1G68130,AT5G60450,AT1G68190,AT1G10610,AT2G35430,AT3G54320,AT3G58120,AT4G17810,AT3G07340,AT5G60970,AT4G36240,AT1G31150,AT4G11970,AT2G27230,AT5G08070,AT4G17460,AT1G26945,AT1G32240,AT5G16600"
"GO:BP","response to blue light","GO:0009637","false","0.0011460182175026825","2.9408084786181883","90","625","12","21899","AT1G14280,AT2G44830,AT1G66840,AT2G02950,AT4G08920,AT3G45780,AT5G58140,AT2G36910,AT2G18790,AT2G21320,AT5G38150,AT1G53090"
"GO:BP","regulation of cellular process","GO:0050794","false","0.0012061185284674616","2.9186100108277664","4635","625","177","21899","AT5G56040,AT2G02070,AT1G78100,AT4G00150,AT3G62980,AT1G14280,AT4G32980,AT1G69440,AT5G18680,AT2G41940,AT1G79110,AT2G44830,AT5G23280,AT1G73660,AT3G57190,AT5G44190,AT4G17880,AT1G14920,AT4G22200,AT2G19860,AT5G13730,AT3G05120,AT1G76880,AT1G75540,AT1G24625,AT3G60630,AT1G19350,AT3G25500,AT1G25440,AT5G64340,AT2G33860,AT5G66770,AT5G58900,AT1G07050,AT5G65310,AT1G49720,AT2G02950,AT2G47220,AT5G54630,AT4G08920,AT1G28310,AT1G31650,AT3G46550,AT2G20180,AT3G04450,AT5G46690,AT4G30680,AT2G01420,AT3G50700,AT5G35750,AT4G14540,AT4G34760,AT1G69690,AT4G25480,AT2G45950,AT5G43700,AT5G41920,AT2G01760,AT3G59400,AT2G31380,AT5G57180,AT1G68550,AT3G22760,AT5G38860,AT3G59420,AT2G32010,AT2G28150,AT1G62120,AT4G33000,AT3G13000,AT3G48590,AT5G23930,AT1G01250,AT5G47640,AT3G57770,AT1G18620,AT1G29460,AT1G23080,AT2G18300,AT5G25810,AT5G59780,AT3G20470,AT3G23805,AT4G01500,AT2G36000,AT2G41560,AT5G60100,AT5G55230,AT4G10180,AT5G43810,AT5G09460,AT5G49980,AT3G47500,AT2G16400,AT3G53920,AT3G45780,AT5G58140,AT1G69935,AT3G22190,AT3G62410,AT4G35270,AT3G15030,AT1G05200,AT2G36910,AT4G27430,AT2G45250,AT2G35260,AT3G23780,AT3G11670,AT4G16340,AT3G05030,AT2G03340,AT3G15850,AT5G65710,AT1G71720,AT5G60120,AT1G18670,AT4G29100,AT5G41410,AT5G45610,AT5G04290,AT4G19500,AT5G45260,AT4G19530,AT1G15215,AT2G18790,AT2G45810,AT2G32390,AT2G27050,AT1G74160,AT5G46570,AT4G21430,AT4G36860,AT3G22780,AT4G20910,AT2G21320,AT1G29450,AT2G22540,AT2G33770,AT1G33060,AT2G22125,AT1G26190,AT1G29430,AT5G05550,AT1G49560,AT2G39250,AT5G46220,AT1G53090,AT3G60390,AT2G46870,AT4G31060,AT1G34210,AT2G32100,AT1G65380,AT1G68130,AT5G60450,AT1G68190,AT1G10610,AT2G35430,AT3G54320,AT3G58120,AT3G49250,AT4G17810,AT1G67080,AT3G07340,AT5G60970,AT4G36240,AT1G31150,AT1G29510,AT4G11970,AT2G27230,AT5G08070,AT4G17460,AT1G26945,AT3G22886,AT1G32240,AT5G16600"
"GO:BP","regulation of primary metabolic process","GO:0080090","false","0.0012337839256492543","2.9087608922597368","2679","625","113","21899","AT2G02070,AT4G00150,AT4G32980,AT1G69440,AT5G18680,AT2G41940,AT5G23280,AT3G57190,AT5G44190,AT4G17880,AT1G14920,AT5G13730,AT1G76880,AT1G75540,AT1G24625,AT3G60630,AT1G19350,AT1G25440,AT5G64340,AT2G33860,AT5G66770,AT5G58900,AT1G07050,AT5G65310,AT1G49720,AT5G54630,AT1G28310,AT2G20180,AT3G04450,AT5G46690,AT4G30680,AT3G50700,AT4G14540,AT1G69690,AT4G25480,AT5G43700,AT5G41920,AT2G01760,AT2G31380,AT5G57180,AT1G68550,AT3G22760,AT5G38860,AT3G59420,AT1G62120,AT3G13000,AT3G48590,AT5G23930,AT1G01250,AT5G47640,AT2G18300,AT5G25810,AT5G59780,AT4G01500,AT2G36000,AT5G60100,AT5G43810,AT5G09460,AT3G47500,AT2G16400,AT3G53920,AT1G69935,AT3G22190,AT3G62410,AT4G35270,AT3G55760,AT3G15030,AT4G27430,AT2G45250,AT2G03340,AT1G71720,AT5G60120,AT4G29100,AT5G41410,AT5G53430,AT5G04290,AT5G45260,AT2G18790,AT2G45810,AT2G27050,AT4G36860,AT3G22780,AT4G20910,AT2G21320,AT2G22540,AT1G33060,AT2G22125,AT5G05550,AT1G49560,AT2G39250,AT3G60390,AT2G46870,AT4G31060,AT2G32100,AT1G68130,AT5G60450,AT1G68190,AT1G10610,AT2G35430,AT3G54320,AT3G58120,AT4G17810,AT3G07340,AT5G60970,AT4G36240,AT1G31150,AT4G11970,AT2G27230,AT5G08070,AT4G17460,AT1G26945,AT1G32240,AT5G16600"
"GO:BP","regulation of macromolecule biosynthetic process","GO:0010556","false","0.0013685978178800478","2.863724156787033","2748","625","115","21899","AT2G02070,AT4G00150,AT4G32980,AT1G69440,AT5G18680,AT2G41940,AT5G23280,AT3G57190,AT5G44190,AT4G17880,AT1G14920,AT5G13730,AT1G76880,AT1G75540,AT1G24625,AT3G60630,AT1G19350,AT1G25440,AT5G64340,AT2G33860,AT5G66770,AT5G58900,AT1G07050,AT5G65310,AT1G49720,AT2G47220,AT5G54630,AT4G08920,AT1G28310,AT2G20180,AT3G04450,AT5G46690,AT4G30680,AT3G50700,AT4G14540,AT1G69690,AT4G25480,AT5G43700,AT5G41920,AT2G01760,AT2G31380,AT5G57180,AT1G68550,AT3G22760,AT5G38860,AT1G62120,AT3G13000,AT3G48590,AT5G23930,AT1G01250,AT5G47640,AT2G18300,AT5G25810,AT5G59780,AT4G01500,AT2G36000,AT5G60100,AT5G43810,AT5G09460,AT3G47500,AT2G16400,AT3G53920,AT3G22190,AT4G35270,AT3G15030,AT4G27430,AT2G45250,AT3G23780,AT2G03340,AT5G65710,AT1G71720,AT5G60120,AT4G29100,AT5G41410,AT5G04290,AT5G45260,AT1G15215,AT2G18790,AT2G45810,AT2G27050,AT4G21430,AT3G22780,AT4G20910,AT2G21320,AT2G22540,AT1G33060,AT2G22125,AT5G05550,AT1G49560,AT2G39250,AT3G60390,AT2G46870,AT4G31060,AT2G32100,AT1G68130,AT5G60450,AT1G68190,AT1G10610,AT2G35430,AT3G54320,AT3G58120,AT3G49250,AT4G17810,AT3G07340,AT5G60970,AT4G36240,AT1G31150,AT4G11970,AT2G27230,AT5G08070,AT4G17460,AT1G26945,AT3G22886,AT1G32240,AT5G16600"
"GO:BP","DNA-templated transcription","GO:0006351","false","0.0016861638196981929","2.7731002336645765","2351","625","101","21899","AT2G02070,AT4G00150,AT4G32980,AT5G18680,AT2G41940,AT5G23280,AT5G44190,AT4G17880,AT1G14920,AT5G67570,AT5G13730,AT1G76880,AT1G75540,AT1G24625,AT3G60630,AT1G19350,AT1G25440,AT5G64340,AT2G33860,AT5G66770,AT5G58900,AT1G07050,AT5G65310,AT1G49720,AT5G54630,AT1G28310,AT2G20180,AT3G04450,AT5G46690,AT3G50700,AT4G14540,AT1G69690,AT4G25480,AT5G43700,AT5G41920,AT2G01760,AT2G31380,AT5G57180,AT1G68550,AT3G22760,AT5G38860,AT1G62120,AT3G13000,AT3G48590,AT5G23930,AT1G01250,AT5G47640,AT2G18300,AT5G25810,AT5G59780,AT4G01500,AT2G36000,AT5G60100,AT5G09460,AT3G47500,AT2G16400,AT3G53920,AT4G35270,AT3G15030,AT4G27430,AT2G45250,AT3G23780,AT2G03340,AT5G60120,AT4G29100,AT5G41410,AT5G04290,AT5G45260,AT2G18790,AT2G27050,AT4G21430,AT3G22780,AT2G21320,AT2G22540,AT1G33060,AT5G05550,AT1G49560,AT2G39250,AT3G60390,AT2G46870,AT4G31060,AT2G32100,AT1G68130,AT5G60450,AT1G68190,AT1G10610,AT2G35430,AT3G54320,AT3G58120,AT4G17810,AT3G07340,AT5G60970,AT4G36240,AT1G31150,AT2G27230,AT5G08070,AT4G17460,AT1G26945,AT4G14520,AT1G32240,AT5G16600"
"GO:BP","regulation of biosynthetic process","GO:0009889","false","0.0017104283909296913","2.7668951033409983","2859","625","118","21899","AT2G02070,AT4G00150,AT4G32980,AT1G69440,AT5G18680,AT2G41940,AT5G23280,AT3G57190,AT5G44190,AT4G17880,AT1G14920,AT5G13730,AT1G76880,AT1G75540,AT1G24625,AT3G60630,AT1G19350,AT1G25440,AT5G64340,AT2G33860,AT5G66770,AT5G58900,AT1G07050,AT5G65310,AT1G49720,AT2G47220,AT5G54630,AT4G08920,AT1G28310,AT2G20180,AT3G04450,AT5G46690,AT4G30680,AT3G50700,AT4G14540,AT1G69690,AT4G25480,AT5G43700,AT5G41920,AT2G01760,AT2G31380,AT5G57180,AT1G68550,AT3G22760,AT5G38860,AT1G62120,AT3G13000,AT3G48590,AT5G23930,AT1G01250,AT5G47640,AT2G18300,AT5G25810,AT5G59780,AT4G01500,AT2G36000,AT5G60100,AT5G43810,AT5G09460,AT3G47500,AT2G16400,AT3G53920,AT1G69935,AT3G22190,AT3G62410,AT4G35270,AT3G15030,AT4G27430,AT2G45250,AT2G35260,AT3G23780,AT2G03340,AT5G65710,AT1G71720,AT5G60120,AT4G29100,AT5G41410,AT5G04290,AT5G45260,AT1G15215,AT2G18790,AT2G45810,AT2G27050,AT4G21430,AT3G22780,AT4G20910,AT2G21320,AT2G22540,AT1G33060,AT2G22125,AT5G05550,AT1G49560,AT2G39250,AT3G60390,AT2G46870,AT4G31060,AT2G32100,AT1G68130,AT5G60450,AT1G68190,AT1G10610,AT2G35430,AT3G54320,AT3G58120,AT3G49250,AT4G17810,AT3G07340,AT5G60970,AT4G36240,AT1G31150,AT4G11970,AT2G27230,AT5G08070,AT4G17460,AT1G26945,AT3G22886,AT1G32240,AT5G16600"
"GO:BP","regulation of cellular biosynthetic process","GO:0031326","false","0.0017104283909296913","2.7668951033409983","2831","625","117","21899","AT2G02070,AT4G00150,AT4G32980,AT1G69440,AT5G18680,AT2G41940,AT5G23280,AT3G57190,AT5G44190,AT4G17880,AT1G14920,AT5G13730,AT1G76880,AT1G75540,AT1G24625,AT3G60630,AT1G19350,AT1G25440,AT5G64340,AT2G33860,AT5G66770,AT5G58900,AT1G07050,AT5G65310,AT1G49720,AT2G47220,AT5G54630,AT4G08920,AT1G28310,AT2G20180,AT3G04450,AT5G46690,AT4G30680,AT3G50700,AT4G14540,AT1G69690,AT4G25480,AT5G43700,AT5G41920,AT2G01760,AT2G31380,AT5G57180,AT1G68550,AT3G22760,AT5G38860,AT1G62120,AT3G13000,AT3G48590,AT5G23930,AT1G01250,AT5G47640,AT2G18300,AT5G25810,AT5G59780,AT4G01500,AT2G36000,AT5G60100,AT5G43810,AT5G09460,AT3G47500,AT2G16400,AT3G53920,AT1G69935,AT3G22190,AT4G35270,AT3G15030,AT4G27430,AT2G45250,AT2G35260,AT3G23780,AT2G03340,AT5G65710,AT1G71720,AT5G60120,AT4G29100,AT5G41410,AT5G04290,AT5G45260,AT1G15215,AT2G18790,AT2G45810,AT2G27050,AT4G21430,AT3G22780,AT4G20910,AT2G21320,AT2G22540,AT1G33060,AT2G22125,AT5G05550,AT1G49560,AT2G39250,AT3G60390,AT2G46870,AT4G31060,AT2G32100,AT1G68130,AT5G60450,AT1G68190,AT1G10610,AT2G35430,AT3G54320,AT3G58120,AT3G49250,AT4G17810,AT3G07340,AT5G60970,AT4G36240,AT1G31150,AT4G11970,AT2G27230,AT5G08070,AT4G17460,AT1G26945,AT3G22886,AT1G32240,AT5G16600"
"GO:BP","chloroplast localization","GO:0019750","false","0.0017506206639118353","2.7568079495290334","22","625","6","21899","AT5G67385,AT1G66840,AT3G45780,AT5G58140,AT5G38150,AT1G64500"
"GO:BP","cellular response to abiotic stimulus","GO:0071214","false","0.0017506206639118353","2.7568079495290334","224","625","19","21899","AT1G14280,AT5G13730,AT2G02950,AT4G08920,AT2G20180,AT2G32010,AT4G10180,AT3G53920,AT3G45780,AT5G58140,AT1G69935,AT1G05200,AT1G49510,AT4G18570,AT4G04340,AT2G18790,AT2G42690,AT2G21320,AT1G53090"
